model,size_kb,latency_ms,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,mcc,kappa,,
TF_TRANSFORMER_FP32,3081.138672,114.6001345,98.480,98.106,97.886,98.106,97.978,98.511,98.480,98.485,98.370,98.369,,
TFLITE_TRANSFORMER_FP32,995.7109375,0.329806,98.480,98.106,97.886,98.106,97.978,98.511,98.480,98.485,98.370,98.369,,
TFLITE_TRANSFORMER_FP16,520.546875,0.364620401,98.480,98.106,97.886,98.106,97.978,98.511,98.480,98.485,98.370,98.369,,
TFLITE_TRANSFORMER_INT8_DYNAMIC,314.265625,0.2584632,98.379,98.025,97.799,98.025,97.893,98.410,98.379,98.382,98.262,98.261,,
TFLITE_TRANSFORMER_INT8_FULL,325.0703125,2.399126401,97.974,97.709,97.628,97.709,97.641,98.017,97.974,97.975,97.828,97.826,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,100
